,Sno,Hospital Name,Hospital Type,Hospital Address,Hospital E-Mail,Hospital Contact,Specialities Empanelled,Specialities Upgraded
8,199 ,Ahammed Kutty Haji Memorial NC Hospital,                            Private (For Profit)                                              ,"                  Yes,         KOZHIKODE,         KERALA                           ",nchospitalmukkam@gmail.com,9400753635,"                                                                            M2,S14,S4,S1                                                              ","                                                             M1,M7    "
9,200 ,Puthalath Eye Hospital,                            Private (For Profit)                                              ,"                  27/1239,Razeena Arcade,Mini Bypass,Kalluthankadave,Puthiyara,Calicut,         KOZHIKODE,         KERALA                           ",puthalatheyecare@gmail.com,"                  8943594483,0495-2744446                                    ",                                                                            S3                                                              ,"                                                             M1,M7    "
0,201 ,"EMS memorial co-operative hospital & research centre, MUKKAM",                            Private (For Profit)                                              ,"                  EMS HOSPITAL, MUKKAM, NEAR POLICE STATION.,         KOZHIKODE,         KERALA                           ",emshospitalmukkam@gmail.com,9526020070,"                                                                            M3,M2,M1,M7,S5,S4,S2,S1                                                              ",                                                             -NA-    
1,202 ,HOLY CROSS HOSPITAL KODANCHERY,                            Private (For Profit)                                              ,"                            KOZHIKODE,         KERALA                  ",ouaholy@gmail.com,9447022941,"                                                                            M1,M2,S8,S7,S12,M3,M7,M4,S16,S6,S10,S11,M6,M5,S9,S14,S13,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
2,203 ,KIMS TRUST HOSPITAL,                            Private (For Profit)                                              ,"                  KIMS TRUST HOSPITAL , KODUVALLY INSTITUTE OF MEDICAL SCIENCE Pvt.Ltd , KP 1/181-B VENNAKKAD KODUVALLY KERALA INDIA PIN 673572,         KOZHIKODE,         KERALA                           ",KIMS.P.LTD@GMAIL.COM,9495120800,"                                                                            S5,S4,S3,S2,S1                                                              ","                                                             M1,M7    "
3,204 ,MALABAR EYE HOSPITAL  RESEARCH CENTRE PVT.LTD,                            Private (For Profit)                                              ,"                  MALABAR EYE HOSPITAL&RESEARCH CENTRE  PVT LTD NEAR ERANHIPALAM POST OFFICE,ERANHIPALAM,CALICUT,         KOZHIKODE,         KERALA                           ",shymanp26@gmail.com,9947007800,                                                                            S3                                                              ,                                                             -NA-    
4,205 ,Smart Hospital & Research Centre Kokkallur,                            Private (For Profit)                                              ,"                  Smart Hospital & Research Centre , Kokkallur, Balussery, Kozhikode,         KOZHIKODE,         KERALA                           ",mail@manojarukandathil.com,9847146466,"                                                                            M8,M1,M2,S8,S12,M3,M7,S16,S10,S11,M5,S14,S13,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
5,206 ,SUPER SPECIALITY MALABAR EYE HOSPITAL,                            Private (For Profit)                                              ,"                  SUPER SPECIALITY MALABAR EYE HOSPITAL, VEE PEE SPACE BUILDING, CIVIL STATION, CALICUT,         KOZHIKODE,         KERALA                           ",mehcalicut@gmail.com,9633732238,                                                                            S3                                                              ,                                                             -NA-    
6,207 ,VIMALA HOSPITAL NELLIPOYIL,                            Private (For Profit)                                              ,"                  MEEMUTTY PO KODANCHERY KOZHIKODE KERALA 673580,         KOZHIKODE,         KERALA                           ",vimalahospital2011@gmail.com,9497209540,"                                                                            M1,M7                                                              ",                                                             -NA-    
8,209 ,BETHANY MEDICAL CENTRE,                            Private (For Profit)                                              ,"                  ANAIKATTY,         PALAKKAD,         KERALA                           ",bmctwt2019@gmail.com,8489386054,"                                                                            M1,S12,M3,M2,M7,S16,S5,S4,S2,S1                                                              ","                                                             S1,S2,S4,S5,S16,M1,M7,M2    "
9,210 ,KARUNA MEDICAL COLLEGE HOSPITAL,                            Private (For Profit)                                              ,"                  KARUNA MEDICAL COLLEGE  HOSPITAL VILAYODI, CHITTUR,PALAKKAD,         PALAKKAD,         KERALA                           ",kmchpkd11@gmail.com,9961097594,"                                                                            M8,M1,M3,M2,M7,S5,S4,S3,S2,S1                                                              ","                                                             M6,S7    "
0,211 ,SHIFA HOSPITAL,                            Private (For Profit)                                              ,"                  KOPPAM,P.O.PULASSERY,         PALAKKAD,         KERALA                           ",drmoidutk@gmail.com,9447226623,"                                                                            M1,M7,S5                                                              ",                                                             NA    
1,212 ,SWAMI VIVEKANANDA HOSPITAL,                            Private (For Profit)                                              ,"                            PALAKKAD,         KERALA                  ",narayanagali@rediff.com,8589991226,"                                                                            M1,M7,S5,S4,S3                                                              ","                                                             S7,S1,S14    "
2,213 ,TRINITY EYE CARE PVT LTD,                            Private (For Profit)                                              ,"                            PALAKKAD,         KERALA                  ",agmtrinityhospital@gmail.com,9633668811,                                                                            S3                                                              ,                                                             S3    
3,214 ,KARUNYA EYE HOSPITAL - ADOOR,                            Private (For Profit)                                              ,"                  City Plaza Near KSRTC Stand Adoor P.O. 691 523,         PATHANAMTHITTA,         KERALA                           ",tillygeorge183@gmail.com,9745688854,                                                                            S3                                                              ,                                                             -NA-    
4,215 ,"CHRISTIAN MISSION HOSPITAL, PANDALAM",                            Private (For Profit)                                              ,"                  M C ROAD, PANDALAM,         PATHANAMTHITTA,         KERALA                           ",cmhospitalp@gmail.com,7025509659,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,M4,S16,S6,S10,S11,M5,S15,S9,S14,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
5,216 ,EYE MICROSUREGRY & LASER CENTRE,                            Private (For Profit)                                              ,"                  EYE MICROSURGERY & LASER CENTRE, YMCA BUILDING, TK ROAD, THIRUVALLA,         PATHANAMTHITTA,         KERALA                           ",vergheseamita18@gmail.com,9847033957,                                                                            S3                                                              ,                                                             -NA-    
6,217 ,"MOUNT ZION MEDICAL COLLEGE, HOSPITAL",                            Private (For Profit)                                              ,"                  MOUNT ZION MEDICAL COLLEGE HOSPITAL, CHAYALODE P.O EZHAMKULAM, ADOOR.,         PATHANAMTHITTA,         KERALA                           ",mountzionrsby@gmail.com,9447054758,"                                                                            M8,M1,M2,S8,S12,M3,M7,S16,S6,S15,S14,S5,S4,S3,S2,S1                                                              ","                                                             S7,S1,S2,S3,S4,S5,S14,S10,S11,S16,M1,M7,M2,M3,S12,S8    "
7,218 ,PUSHPAGIRI MEDICAL COLLEGE HOSPITAL,                            Private (For Profit)                                              ,"                  Pushpagiri medical college hospital,Thiruvalla, kerala, pin 689101,         PATHANAMTHITTA,         KERALA                           ",administrator@pushpagiri.in / rsby@pushpagiri.in,9446552330,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S10,S11,M5,S15,S9,S14,S5,S4,S3,S2,S1                                                              ",                                                             S13    
8,219 ,SABITHA EYE CARE,                            Private (For Profit)                                              ,"                  St Peters Junction, PTA,         PATHANAMTHITTA,         KERALA                           ",nidhishnair1987@gmail.com,9061577040,                                                                            S3                                                              ,                                                             -NA-    
9,220 ,ST THOMAS HOSPITAL,                            Private (For Profit)                                              ,"                  MALAKKARA PO,         PATHANAMTHITTA,         KERALA                           ",stthomashospitalmalakkara@gmail.com,9061463763,"                                                                            M2,M1,M7,S16,S14,S5,S4,S2,S1                                                              ",                                                             -NA-    
1,222 ,MOSC  Medical Mission Kariambady Eye Hospital,                            Private (For Profit)                                              ,"                  Kariambady.P.O., Meenangady, Wayanad, Kerala,         WAYANAD,         KERALA                           ",mosceyecare@gmail.com,9496222991,                                                                            S3                                                              ,                                                             -NA-    
2,223 ,Comtrust Charitable Trust Eye Hospital,                            Private (For Profit)                                              ,"                  City Center, Thalassery, Kannur,         KANNUR,         KERALA                           ",ckrnambiar@gmail.com,9846536886,                                                                            S3                                                              ,                                                             -NA-    
3,224 ,DR BINUS SUNRISE EYECARE,                            Private (For Profit)                                              ,"                  DR BINUS SUNRISE EYE CARE,         KANNUR,         KERALA                           ",sunriseeyecare15@gmail.com,9072727016,                                                                            S3                                                              ,                                                             -NA-    
5,226 ,Kamath Medical Centre,                            Private (For Profit)                                              ,"                  Kasaragod,         KASARAGOD,         KERALA                           ",kamathhospital78@gmail.com,9495345206,"                                                                            M1,S7,S3                                                              ",                                                             -NA-    
6,227 ,MAM COMTRUST EYE CARE HOSPITAL,                            Private (For Profit)                                              ,"                  P.O.ANANDASHRAM,MAVUNGAL,KANHANGAD-671531,         KASARAGOD,         KERALA                           ",simscomeye@gmail.com,9446408626,"                                                                            S4,S3                                                              ",                                                             S3    
7,228 ,Yenepoya Medical College Hospital,                            Private (For Profit)                                              ,"                  Nithyanand nagar post,University road,Deralakatte,Mangalore,         KASARAGOD,         KERALA                           ",vinodakymc@gmail.com,9164877158,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,M4,S16,S6,S10,S11,M6,M5,S15,S9,S14,S13,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
8,229 ,PG Medical Trust Hospital,                            Private (For Profit)                                              ,"                  VK Road,Nilambur Post,         MALAPPURAM,         KERALA                           ",pgmedicaltrust.hospital@yahoo.com,9847418160,"                                                                            M3,M2,M1,M7,S16,S5,S4,S2,S1                                                              ",                                                             S14    
9,230 ,RAYHAN EYE HOSPITAL & LASIK CENTRE,                            Private (For Profit)                                              ,"                  CALICUT ROAD, EDAPAL,         MALAPPURAM,         KERALA                           ",rsbyrayhanhospital@gmail.com,9388156600,"                                                                            M1,M7,S3                                                              ",                                                             -NA-    
0,231 ,IMRANS EYE HOSPITAL,                            Private (For Profit)                                              ,"                  CALICUT ROAD,CHEMMAD, P.O TIRURANGADi,         MALAPPURAM,         KERALA                           ",imranseyehospital@gmail.com,8089225098,"                                                                            M1,M7,S3                                                              ",                                                             NA    
1,232 ,Elamkulam Maternity and child health hospital,                            Private (For Profit)                                              ,"                  Elamkulam Maternity and Child Health Hospital,Govt hospital Road,Hospital Hill,Nilambur(PO),Nilambur,Malappuram district.,         MALAPPURAM,         KERALA                           ",manager.ekh@gmail.com,9633868643,"                                                                            M3,M2,M1,M7,S16,S5,S4,S1                                                              ","                                                             S1,S4,S5,S16,M1,M7,S7    "
2,233 ,AL RAYHAN EYE HOSPITAL,                            Private (For Profit)                                              ,"                  BA TOWER, BY PASS ROAD, KONDOTTY, MALAPPURAM DT, KERALA 673638,         MALAPPURAM,         KERALA                           ",alrayhaneyehospital@gmail.com,8129373036,"                                                                            M1,M7,S3                                                              ","                                                             S1,S4,S5,S16,M1,M7,S7    "
4,235 ,peoples hospital,                            Private (For Profit)                                              ,"                  pookkottumpadam [po] pookkottumpadam,         MALAPPURAM,         KERALA                           ",peopleshospitalppm@gmail.com,9946091962,"                                                                            M1,M7,S5,S4,S3,S2,S1                                                              ","                                                             S1,S4,S5,S16,M1,M7,S7    "
5,236 ,ITEES MALABAR EYE HOSPITAL,                            Private (For Profit)                                              ,"                  KIZHAKKETHALA, DOWN HILL,MALAPPURAM,         MALAPPURAM,         KERALA                           ",kasp.malabar@gmail.com,9895809471,"                                                                            M1,M7,S3                                                              ",                                                             -NA-    
6,237 ,MOONNIYOOR NURSING HOME,                            Private (For Profit)                                              ,"                  AC Bazar, Moonniyur PO, Ullanam Road. Pin 676311,         MALAPPURAM,         KERALA                           ",rsbymoonniyoor@gmail.com,9995314567,"                                                                            M3,M2,M1,M7,S4                                                              ","                                                             M3,S4,M2,M1,M7    "
7,238 ,EMC HOSPITAL,                            Private (For Profit)                                              ,"                  EDAVANNA,,         MALAPPURAM,         KERALA                           ",emchospitaledv@gmail.com,9961804668,"                                                                            M8,M1,M2,S8,S12,M7,S3                                                              ","                                                             S4,S14,S1,M2,S5,M3,S7,S2    "
8,239 ,Eranad Hospital,                            Private (For Profit)                                              ,"                  Ooty road,Edakkara Post,         MALAPPURAM,         KERALA                           ",eranadhospital.edk@gmail.com,8111888721,"                                                                            M1,M2,S8,S12,M3,M7,S16,M6,S5,S3,S2,S1                                                              ","                                                             M2,S1,S2,M3,S3,S5,S6,M1,M7,S12    "
9,240 ,"AHALIA FOUNDATION EYE HOSPITAL, MANJERI",                            Private (For Profit)                                              ,"                  AHALIA FOUNDATION EYE HOSPITAL, PALACE COMPLEX,NEAR MUNICIPAL OFFICE,MANJERI,         MALAPPURAM,         KERALA                           ",manjeri@afeh.org,9496396716,                                                                            S3                                                              ,                                                             S3    
0,241 ,Irinjalakuda Cooperative Hospital Ltd,                            Private (For Profit)                                              ,"                  Nadavaramba P O, Kolothumpadi,         THRISSUR,         KERALA                           ",gm@cooperativehospital.com,9349014865,"                                                                            M1,M2,M7,S16,S7,S5,S4,S3,S2,S1                                                              ",                                                             S12    
1,242 ,AARYA HEALTHCARE,                            Private (For Profit)                                              ,"                  AARYA MEDICAL CENTRE, SECOND FLOOR, PALLITHAMAM BUILDING, ABOVE ELITE SUPER MARKET, PALIYAM ROAD, NEAR NORTH BUS STAND, THRISSURDISTRICT, KERALA, INDIA - 680 020,         THRISSUR,         KERALA                           ",amctcr@gmail.com,9447351001,"                                                                            M8,M2,M1,M7,S5,S4,S3                                                              ",                                                             -NA-    
2,243 ,Guardian hospital,                            Private (For Profit)                                              ,"                  Kaipamangalam,         THRISSUR,         KERALA                           ",guardianhospitalkpm@gmail.com,9947386957,"                                                                            M1,M7,S5,S4                                                              ",                                                             -NA-    
3,244 ,I VISION EYE CARE CENTRE (A Unit of sargam eye hospitals Pvt.Ltd.,                            Private (For Profit)                                              ,"                  SARGAM EYE HOSPITALS PVT.LTD (I VISION CARE CENTRE)KSRTC Road,Chalakudy Thrissur.680307,         THRISSUR,         KERALA                           ",ivisionchalakudy@gmail.com,9539414333,                                                                            S3                                                              ,                                                             -NA-    
4,245 ,I Vision Eye Hospital,                            Private (For Profit)                                              ,"                  Smart city Building,Koorkkenchery,Thrissur,         THRISSUR,         KERALA                           ",nkivision@yahoo.in,9947498470,                                                                            S3                                                              ,                                                             S3    
5,246 ,KERALA CARE AND CONCERN HOSPITALS PVT LTD,                            Private (For Profit)                                              ,"                  A R MENON ROAD,A RAHMAN COMPLEX,THRISSUR,NEAR VIVEKODAYAM SCHOOL,         THRISSUR,         KERALA                           ",eydiacare@gmail.com,9745550644,                                                                            S3                                                              ,                                                             S3    
6,247 ,RAYHAN EYE HOSPITAL & LASER CENTRE,                            Private (For Profit)                                              ,"                  NEAR PVT BUSSTAND,         THRISSUR,         KERALA                           ",rayhaneyehospital2@gmail.com,9388146600,                                                                            S3                                                              ,                                                             -NA-    
7,248 ,EGM MOTHER AND CHILD HOSPITAL,                            Private (For Profit)                                              ,"                  Kodungallur,         THRISSUR,         KERALA                           ",EGMHOSPITALKDLR@GMAIL.COM,9037716638,"                                                                            M3,M2,S4                                                              ",                                                             -NA-    
8,249 ,T.M. Hospital,                            Private (For Profit)                                              ,"                  T.M. hospital,Chettuwa,         THRISSUR,         KERALA                           ",tmhospital@gmail.com,9847049721,"                                                                            M8,M1,M3,M2,M7,S5,S4,S2,S1                                                              ",                                                             -NA-    
9,250 ,RAJAH CHARITABLE MEDICAL TRUST,                            Private (For Profit)                                              ,"                  MUTHUVATTOOR, CHAVAKKAD,         THRISSUR,         KERALA                           ",rajahhospital@yahoo.co.in,9447499093,"                                                                            M8,M1,S7,S12,M3,M2,M7,S16,S5,S4,S2,S1                                                              ",                                                             -NA-    
0,251 ,Mar Themotheus Charitable Hospital,                            Private (For Profit)                                              ,"                  Ollukkara P.O,Kunnathumkara,         THRISSUR,         KERALA                           ",mtch.annex#yahoo.com,9061395647,"                                                                            M1,S7,M2,M7,S5,S2,S1                                                              ",                                                             NA    
1,252 ,DR. RANI MENONS EYE CLINIC,                            Private (For Profit)                                              ,"                  CHUNGAM BUS STOP, KANJANI ROAD,         THRISSUR,         KERALA                           ",ins2013drranimenoneyeclinic@gmail.com,9539176546,"                                                                            M3,M2,M1,M7,S7,S5,S4                                                              ",                                                             S3    
2,253 ,ASSISI MISSION HOSPITAL,                            Private (For Profit)                                              ,"                  Parappukara,         THRISSUR,         KERALA                           ",assisi.missionhospital@gmail.com,8086476223,                                                                            S3                                                              ,"                                                             S2,S1,M3,S4,S5,S7,M1,M7,M2    "
3,254 ,Peechis Hospital,                            Private (For Profit)                                              ,"                  Thegumkalayil building, Peechi road junction, Pattikad PO,         THRISSUR,         KERALA                           ",jophythekkekara@yahoo.com,9746471930,"                                                                            M3,M2,M1,M7,S5,S2,S1                                                              ",                                                             -NA-    
4,255 ,Divya Prabha Eye Hospital,                            Private (For Profit)                                              ,"                  Kumarapuram Kannanmoola Road,         THIRUVANANTHAPURAM,         KERALA                           ",drdevin@gmail.com,9746545544,                                                                            S3                                                              ,                                                             -NA-    
5,256 ,DR.SM CSI MEDICAL COLLEGE AND HOSPITAL KARAKONAM,                            Private (For Profit)                                              ,"                  DR.SM CSI MEDICAL COLLEGE AND HOSPITAL KARAKONAM,         THIRUVANANTHAPURAM,         KERALA                           ",insurance@smcsimch.ac.in,9447154448,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S16,S9,S14,S5,S4,S3,S2,S1                                                              ","                                                             S15,M6,M5    "
6,257 ,swamiji hospital,                            Private (For Profit)                                              ,"                  swamiji hospital chirayinkeezh,         THIRUVANANTHAPURAM,         KERALA                           ",seerapanib9@gmail.com,9447015051,"                                                                            M1,M7,S14,S1                                                              ",                                                             -NA-    
7,258 ,Regional Institute of Ophthalmology,                                      Public                                    ,"                  Near General hospital Junction,Vanchiyoor PO trivandrum,         THIRUVANANTHAPURAM,         KERALA                           ",eyehospitaltrivandrum@gmail.com,9447501477,                                              S3                                                                                             ,                               -NA-                                                 
8,259 ,B R HOSPITAL & RESEARCH CENTRE,                            Private (For Profit)                                              ,"                  NEDUNGOLAM,         KOLLAM,         KERALA                           ",brhospital@yahoo.com,9400717056,"                                                                            M8,M1,M2,S8,S12,M3,M7,S16,S6,S7,S14,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
9,260 ,MATHA MEDICAL CENTRE,                            Private (For Profit)                                              ,"                  MATHA MEDICAL CENTRE, MATHILIL PO, KOLLAM,         KOLLAM,         KERALA                           ",mathamedicalcentre@GMAIL.COM,9746300288,"                                                                            S7,S14,S13                                                              ","                                                             S6,S16,M4,M1,M7,M2,M3,S1,S2,S3,S4,S5,S8,S9,S15,M5,S12,M6,S10,S11    "
0,261 ,MERCY HOSPITAL,                            Private (For Profit)                                              ,"                  VALAKOM, KOTTARAKKARA, KOLLAM DISTRICT, KERALA,         KOLLAM,         KERALA                           ",mercypublicrelation@gmail.com,9037861697,"                                                                            M1,M2,S8,M3,M7,S16,S6,S5,S4,S3,S2,S1                                                              ",                                                             NA    
1,262 ,SHANKAR'S EYE HOSPITAL,                            Private (For Profit)                                              ,"                  THOLICODE.PO,  PUNALUR,         KOLLAM,         KERALA                           ",shankar_seyehospital@yahoo.com,9495922969,"                                                                            S5,S4,S3                                                              ",                                                             -NA-    
2,263 ,Pranavam Hospital (P) Ltd. Punalur,                            Private (For Profit)                                              ,"                  Near Ksrtc Bus Stand Vettipuzha Punalur,         KOLLAM,         KERALA                           ",prathapan_2004@rediffmail.com,9447111540,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S16,S5,S4,S2,S1                                                              ",                                                             -NA-    
3,264 ,Govt. Taluk Hospital Kozhikode,                                      Public                                    ,"                  Govt. Taluk Hospital Feroke, Kozhikode, 673631,         KOZHIKODE,         KERALA                           ",thfrsby@gmail.com,9447342962,"                                              M2,S5,S4,S3                                                                                             ","                               S1,S2,S3,S4,S5,S13,S14,S7,S8,S9,S15,M5,S10,S11,S16,M4,M1,M7,M2,M3,S12,M8                                                 "
4,265 ,General Hospital Neyyattinkara,                                      Public                                    ,"                  The Superintendent,         THIRUVANANTHAPURAM,         KERALA                           ",proghneyyattinkara@gmail.com,9747211435,"                                              M2,S5,S4,S3,S2,S1                                                                                             ","                               S1,S3,S4,S5,S10,S11,S6,S2,M2,M1,M7,S16,M3,M8                                                 "
5,266 ,CHC NILAMEL,                                      Public                                    ,"                  CHC Nilamel Nilamel Po Kollam Kerala 691535,         KOLLAM,         KERALA                           ",bacnilame2014@gmail.com,9946105775,                                              -NA-                                                                                             ,"                               S1,S3,S4,S5,S10,S11,S6,S2,M2,M1,M7,S16,M3,M8                                                 "
6,267 ,Govt.THQH Karunagappally,                                      Public                                    ,"                  Govt.Taluk Head Quarters Hospital,Karunagappally.690518,         KOLLAM,         KERALA                           ",thqkarunagappally@gmail.com,9447030426,"                                              M8,M1,M2,M7,S16,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
7,268 ,Taluk hospital Neendakara,                                      Public                                    ,"                  Taluk Hospital   Neendakara,         KOLLAM,         KERALA                           ",nr906946@gmail.com,9847117845,"                                              M2,M1,M7,S5,S4                                                                                             ",                               -NA-                                                 
8,269 ,A A RAHIM MEMORIAL DISTRICT HOSPITAL,                                      Public                                    ,"                  NEAR TALUK KACHERY CHINNAKADA KOLLAM,         KOLLAM,         KERALA                           ",prodhklm@gmail.com,7012737096,"                                              M8,M1,M2,S8,S7,S12,M7,S16,M6,M5,S5,S3,S2,S1                                                                                             ","                               M1,S7                                                 "
9,270 ,THQH Punalur,                                      Public                                    ,"                  Superintendent,THQH Punalur,Punalur PO,Kollam,         KOLLAM,         KERALA                           ",thqhospitalpunalur@gmail.com,8086925883,"                                              M8,M1,S7,S12,M3,M2,M7,M4,S16,S6,S10,S11,M5,S5,S4,S3,S2,S1                                                                                             ","                               M1,S7                                                 "
0,271 ,GOVERNMENT VICTORIA HOSPITAL,                                      Public                                    ,"                            KOLLAM,         KERALA                  ",abc@abc.com,9999999999,"                                              M1,M7,S4                                                                                             ",                               NA                                                 
1,272 ,THQH Sasthamcotta,                                      Public                                    ,"                  THQH Sasthamcotta, Sasthamcotta P O,         KOLLAM,         KERALA                           ",,9400847347,"                                              M2,M1,M7,S5,S4,S2,S1                                                                                             ",                               NA                                                 
2,273 ,Taluk Hospital Kadakkal,                                      Public                                    ,"                  Kadakkal PO, Kollam,         KOLLAM,         KERALA                           ",thkadakkal@gmail.com,9846091695,                                              -NA-                                                                                             ,                               NA                                                 
3,274 ,ST. JOSEPH'S MISSION HOSPITAL,                            Private (For Profit)                                              ,"                  ST. JOSEPH'S MISSION HOSPITAL, ANCHAL,         KOLLAM,         KERALA                           ",srjosmindm@gmail.com,8547248332,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S5,S4,S3,S2,S1                                                              ",                                                             NA    
4,275 ,"Taluk Head Quarters Hopsital, Kottarakara",                                      Public                                    ,"                  Taluk Head Quarters Hospital, Kottarakara, Market Jn, Kottarakara P.O- 691506,         KOLLAM,         KERALA                           ",thqhktr@gmail.com,9846111765,"                                              M8,M1,M2,M7,S16,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
5,276 ,Ursula Hospital,                            Private (For Profit)                                              ,"                  Ambalapuzha,,         ALAPPUZHA,         KERALA                           ",sr.raciumi@gmail.com,7736477462,"                                                                            M2,M1,M7                                                              ",                                                             -NA-    
6,277 ,MEDICAL TRUST HOSPITAL,                            Private (For Profit)                                              ,"                            IDUKKI,         KERALA                  ",medicaltrustndkm@gmail.com,9447772056,"                                                                            M2,M1,M7,S6,S7,S5,S4,S1                                                              ",                                                             -NA-    
7,278 ,PNNM HOSPITAL,                            Private (For Profit)                                              ,"                  ANCHLUMMOODU, PERINADU P.O., KOLLAM,         KOLLAM,         KERALA                           ",shameerkh.shameer@gmail.com,9746070248,"                                                                            M2,M1,M7,S7,S5,S3,S2,S1                                                              ",                                                             -NA-    
8,279 ,ASHTAMUDI HOSPITAL AND TRAUMA CARE CENTRE,                            Private (For Profit)                                              ,"                  MEVARAM, THATTAMALA P.O KOLLAM,         KOLLAM,         KERALA                           ",ashtamudihospital@gmail.com,9447244920,"                                                                            S12,M2,M1,M7,S16,S6,S8,S9,S5,S4,S2,S1                                                              ","                                                             S2,S5,S16,M1,M7,M2,M3,S12,S7,S8,S9,S1,S4,M5,S10,S11,S6    "
9,280 ,azeezia medical college hospital,                            Private (For Profit)                                              ,"                  azeezia medical college,         KOLLAM,         KERALA                           ",medicalcollegeazeezia@gmail.com,9496030300,"                                                                            S10,S11,S8,S9,S7,S13,S5,S4,S3,S2,S1,M8,M1,M2,S12,M7                                                              ","                                                             S16,S1,S2,S3,S4,S5,S13,S7,S8,S9,S10,S11,M1,M7,M2,S12    "
0,281 ,THQH PARASSALA,                                      Public                                    ,"                            THIRUVANANTHAPURAM,         KERALA                  ",supt.thparassala@gmail.com,9447101937,"                                              M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
1,282 ,GENERAL HOSPITAL TRIVANDRUM,                                      Public                                    ,"                            THIRUVANANTHAPURAM,         KERALA                  ",generalhospitaltrivandrum@gmail.com,9446967803,"                                              M8,M1,S7,S12,M2,M7,S5,S3,S2,S1                                                                                             ",                               -NA-                                                 
2,283 ,GOVT.Hospital Palode,                                      Public                                    ,"                            THIRUVANANTHAPURAM,         KERALA                  ",prolochckallara@gmail.com,9061508242,"                                              M1,M7,S4                                                                                             ",                               -NA-                                                 
3,284 ,SAT HOSPITAL,                                      Public                                    ,"                  Govt medical college Medical college Junction Trivandrum,         THIRUVANANTHAPURAM,         KERALA                           ",drasanthoshkumar@gmail.com,9387801945,"                                              M8,M1,M2,S8,S7,S12,M3,M7,M4,S6,S10,S11,S15,S9,S14,S13,S4,S1                                                                                             ",                               -NA-                                                 
4,285 ,CHC Narikkuni,                                      Public                                    ,"                  CHC NarikkuniNarikkuni P.OKozhikode,         KOZHIKODE,         KERALA                           ",soorajkth@gmail.com,9747211598,"                                              M2,S5,S4,S3                                                                                             ","                               M1,M7                                                 "
5,286 ,Rama Rao Memorial Taluk Hospital Nedungolam,                                      Public                                    ,"                  Rama Rao Memorial Taluk Hospital Nedungolam,         KOLLAM,         KERALA                           ",chcnedungolam@gmail.com,9447020991,"                                              M2,S4,S3,S1                                                                                             ","                               S2,S5,S16,M1,M7                                                 "
6,287 ,CHC MOOTHAKUNNAM,                                      Public                                    ,"                  CHC MOOTHAKUNNAM,         ERNAKULAM,         KERALA                           ",chcmoothakunnam.ekm@gmail.com,9446493277,"                                              M1,M7                                                                                             ","                               M1,M7                                                 "
7,288 ,"JSM HOSPITAL,KARAMODE",                            Private (For Profit)                                              ,"                  KARAMCODE P.O,CHATHANNUR,KOLLAM,         KOLLAM,         KERALA                           ",jsmchathannoor@gmail.com,9526954024,"                                                                            S5,S4                                                              ","                                                             M1,M7    "
